Supporting Information,Data Series,Year,Community Name,State,Region,Latitude,Longitude,Poverty,Labor Force,Housing Characteristics,Population Composition,Personal Disruption,Housing Disruption,Retiree Migration,Urban Sprawl,Commercial Engagement,Commercial Reliance,Recreational Engagement,Recreational Reliance,Sea Level Rise Risk,Storm Surge Risk,Poverty Categorical Ranking,Labor Force Categorical Ranking,Housing Characteristics Categorical Ranking,Population Composition Categorical Ranking,Personal Disruption Categorical Ranking,Housing Disruption Categorical Ranking,Retiree Migration Categorical Ranking,Urban Sprawl Categorical Ranking,Commercial Engagement Categorical Ranking,Commercial Reliance Categorical Ranking,Recreational Engagement Categorical Ranking,Recreational Reliance Categorical Ranking,Sea Level Rise Risk Categorical Ranking,Storm Surge Risk Categorical Ranking
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Kahului, HI,Pacific Islands,20.878197,-156.4793696,-0.206,-0.294,-0.022,1.569,-0.119,0.546,0.243,-0.572,0.447,-0.102,N/A,N/A,-0.279,N/A,1,1,1,4,1,3,2,1,2,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Kula, HI,Pacific Islands,20.600356,-156.42133,0.011,-0.044,-0.211,-0.207,-0.563,0.099,0.318,-0.388,-0.075,-0.113,N/A,N/A,-0.279,N/A,2,1,1,1,1,2,2,1,1,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Wailuku, HI,Pacific Islands,20.8912124,-156.5026548,-0.096,-0.508,0.095,0.899,-0.099,0.389,-0.167,-0.721,0.206,-0.105,N/A,N/A,-0.299,N/A,1,1,2,3,1,2,1,1,2,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Hana, HI,Pacific Islands,20.7320209,-156.1014766,-0.559,0.034,0.682,0.125,-0.411,0.245,0.194,-1.261,0.006,-0.031,N/A,N/A,-0.282,N/A,1,2,3,2,1,2,2,1,2,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Lanai, HI,Pacific Islands,20.8408648,-156.9281974,-0.209,-0.23,0.465,1.401,-0.059,1.34,-0.213,-0.976,-0.035,-0.085,N/A,N/A,-0.252,N/A,1,1,2,4,1,4,1,1,1,1,1,1,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Kihei, HI,Pacific Islands,20.7831105,-156.4650291,-0.262,-0.849,0.139,0.234,-0.369,0.17,-0.661,-0.968,0.222,-0.106,N/A,N/A,-0.062,N/A,1,1,2,2,1,2,1,1,2,1,2,2,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,East Molokai, HI,Pacific Islands,21.1311732,-156.8352374,-0.135,0.349,0.922,1.069,-0.626,0.242,0.607,-0.795,-0.072,-0.099,N/A,N/A,0.144,N/A,1,2,3,4,1,2,3,1,1,1,2,4,2,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Lahaina, HI,Pacific Islands,20.9145445,-156.6471756,-0.586,-0.928,0.109,0.674,-0.556,0.36,-0.548,-0.686,0.189,-0.106,N/A,N/A,-0.268,N/A,1,1,2,3,1,2,1,1,2,1,3,3,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,Spreckelsville, HI,Pacific Islands,20.90799,-156.4262483,0.631,-0.212,N/A,-0.324,-0.266,N/A,0.103,0.014,-0.128,-0.032,N/A,N/A,-0.244,N/A,3,1,0,1,1,0,2,2,1,1,1,4,1,0
https://www.fisheries.noaa.gov/social-indicator-supporting-information,2016 indicators use ACS 2012-2016 5 year average estimate data; 2016 NOAA Fisheries-Alaska State-Washington State-Oregon State and California State fisheries data; 2015 USGS DEM data; and 2015 SLOSH data.,2016,West Molokai, HI,Pacific Islands,21.1629133,-157.1901883,1.362,0.462,0.893,0.98,0.4,-0.113,0.047,-0.661,-0.105,-0.098,N/A,N/A,-0.039,N/A,4,2,3,3,2,1,2,1,1,1,1,1,1,0
