"","Community.Name","State","Region","Latitude","Longitude","cumi_mean","ComEng","ComRel","PC1_scores_pd","PC1_scores_pc","PC1_scores_pov","PC1_scores_lf","PC1_scores_hc","Hazard","Vulnerability","Exposure","Risk","RiskCategoryM1","RiskCategoryM2"
"11","Agua Dulce, CA","CA","West Coast",34.5045821,-118.3163987,271.316295,-0.182,-0.12,-0.791026198445325,-0.573791533543541,-0.755488986042005,0.0891284889388459,-1.37462274418389,3,1,1,3,"Low","Moderate"
"12","Agua Dulce, TX","TX","Southeast",27.7827303,-97.9098498,77.0144466666667,-0.182,-0.12,0.841366902952702,0.966280403680015,0.318455296046064,-0.077373099080186,0.928239935870395,1,3,1,3,"Low","Moderate"
"13","Aguanga, CA","CA","West Coast",33.4522463,-116.8554705,299.432891428571,-0.182,-0.12,1.94695648972905,-0.504800316705604,-0.0363852122072275,0.0598077687650248,2.64819317555372,4,3,1,12,"High","High"
"14","Akutan, AK","AK","Alaska",54.1399932,-165.763018,341.063785204082,12.699,30.221,0.369004615062597,3.03769782359777,0.406947293061224,-3.27401517745128,1.53285500771755,4,2,4,32,"High","High"
"15","Alakanuk, AK","AK","Alaska",62.7109971,-164.649719,248.166412727273,0.177,0.235,3.2805439149313,1.07017207799525,3.48760580296014,0.870220971440329,1.35617300418963,3,4,2,24,"High","High"
"16","Alameda, CA","CA","West Coast",37.7419107,-122.2599139,270.033405925926,0.077,-0.117,-0.370753626183225,0.774252942985889,-0.300702565477135,-0.835084235624991,-0.498866472674928,3,1,1,3,"Low","Moderate"
"17","Alamo, CA","CA","West Coast",37.854598,-122.0129953,249.868308181818,-0.178,-0.119,-1.28526774747341,-0.691730850511187,-1.07826091004301,0.585233628522512,-3.16614775903727,3,1,1,3,"Low","Moderate"
"18","Albany, CA","CA","West Coast",37.8906499,-122.3181164,263.586573222222,-0.182,-0.12,-0.62280416120233,0.959847379386703,-0.419895721328945,-0.972376525066286,-0.651046065391494,3,1,1,3,"Low","Moderate"
"19","Albertson, NY","NY","Northeast",40.7715827,-73.6481546,264.98422375,-0.182,-0.12,-1.06254476497604,0.261190987426633,-1.01619818019503,0.0461818454169243,-1.62046183161298,3,1,1,3,"Low","Moderate"
"20","Aldan, PA","PA","Northeast",39.9224103,-75.2881193,254.410605,-0.182,-0.12,-0.7287752223166,-0.389650476625845,-0.833004765922064,-0.352264946810387,-0.153744987310106,3,1,1,3,"Low","Moderate"
"21","Alderwood Manor, WA","WA","West Coast",47.8145348,-122.2676679,132.053525,-0.182,-0.12,-0.671362553047205,0.332193923996858,-0.476384560698704,-1.29016254469546,-0.326752209396444,2,1,1,2,"Low","Low"
"22","Aldine, TX","TX","Southeast",29.9134376,-95.377431,91.9518666666667,-0.182,-0.12,1.91264966438805,3.56490993982914,2.11684946362024,-0.102971862327518,1.17458556544636,1,4,1,4,"Medium","Moderate"
"23","Alhambra, CA","CA","West Coast",34.0835711,-118.1364436,272.196278529412,-0.182,-0.12,-0.0267039037271403,2.35281994333797,0.455623871686155,-0.275996560015349,0.196917239072175,4,3,1,12,"High","High"
"24","Aliso Viejo, CA","CA","West Coast",33.5792186,-117.728915,285.55948826087,-0.182,-0.12,-0.847274367552182,0.320556479463637,-0.668381027376614,-1.71791553090973,-0.869224073406655,4,1,1,4,"Medium","Moderate"
"25","Allenhurst, GA","GA","Southeast",31.7873505,-81.6034901,57.8612636363636,-0.182,-0.12,1.12923865694006,0.250858513499063,0.688402016929225,-0.245633513020941,1.13996416358207,1,3,1,3,"Low","Moderate"
"26","Allenhurst, NJ","NJ","Northeast",40.2359448,-74.0024167,248.073655416667,-0.182,-0.12,-1.05234972051257,-1.23322851199786,-1.05684443176678,0.129588162147084,-1.67372605062662,3,1,1,3,"Low","Moderate"
"27","Allentown, FL","FL","Southeast",30.7704889,-87.0844279,123.442422857143,-0.182,-0.12,-1.31757595873401,-0.834971619285558,-1.05731130348991,0.281675524474934,0.60626717219557,1,1,1,1,"Low","Low"
"28","Allentown, NJ","NJ","Northeast",40.1785614,-74.5900947,258.09289,-0.182,-0.12,-0.492699888123862,-0.489450118362369,-0.959618472629131,-1.4282399994925,-0.643695650050681,3,1,1,3,"Low","Moderate"
"29","Alliance, NC","NC","Southeast",35.1435085,-76.8084611,86.8895138888889,-0.132,-0.056,0.0551049610096874,-0.543738111183288,0.793139339680306,1.87765349824923,1.10388899623469,1,3,1,3,"Low","Moderate"
"30","Alloway, NJ","NJ","Northeast",39.5615958,-75.3453034,245.78668625,-0.182,-0.12,-1.05422883354845,-0.942154947193415,-0.509133201850037,-0.806453970498351,-0.518251058254699,3,1,1,3,"Low","Moderate"
"31","Alna, ME","ME","Northeast",44.0984676,-69.629176,327.243308888889,-0.129,-0.056,-0.226614718464762,-1.04077441992691,-0.0566005114273983,-0.985997075854423,0.344194404302614,4,1,1,4,"Medium","Moderate"
"32","Alondra Park, CA","CA","West Coast",33.8905082,-118.3354782,284.26860673913,-0.182,-0.12,0.466424153935865,1.97235004535448,0.604589505108157,-0.369643139152483,0.190838738677404,4,3,1,12,"High","High"
"33","Alpine, CA","CA","West Coast",32.8422857,-116.7560444,313.253973928571,-0.182,-0.12,-0.464488874006042,-0.305220288827661,-0.46174301868865,-0.199004914441704,-0.572600127159805,4,1,1,4,"Medium","Moderate"
"34","Altadena, CA","CA","West Coast",34.1922117,-118.1355893,274.866806785714,-0.182,-0.12,-0.406007774313204,0.518870397697507,-0.165282469965147,-0.511702695424653,-0.644535227611385,4,1,1,4,"Medium","Moderate"
"35","Alto, CA","CA","West Coast",37.9055811,-122.5187182,266.844987833333,-0.182,-0.12,-1.57971785223124,-0.295564403753513,-1.32696074470487,-1.40754213718717,-1.20680226609761,3,1,1,3,"Low","Moderate"
"36","Alum Rock, CA","CA","West Coast",37.3694003,-121.8239314,262.78861297619,-0.182,-0.12,0.433158218371521,2.14745857289828,-0.286270917943967,-0.466302375496536,-0.535885422515993,3,2,1,6,"Medium-high","Moderate"
"37","Alva, FL","FL","Southeast",26.7214924,-81.6242841,118.179918181818,-0.182,-0.12,-0.266366109196711,-0.864499828518969,-0.524597402049623,0.995549421949572,0.478712256369722,1,1,1,1,"Low","Low"
"38","Alvin, TX","TX","Southeast",29.4272283,-95.225373,128.372771309524,-0.182,-0.12,0.572580821291471,0.347650565848473,0.455594954101233,-0.286702326128454,0.92016037173328,2,2,1,4,"Medium","Moderate"
"39","Ama, LA","LA","Southeast",29.9434918,-90.2955647,103.649926,-0.081,-0.056,0.659261157640588,-0.375613552747005,-0.265581928140609,-0.756437884156388,0.815288389620065,1,2,1,2,"Low","Low"
"40","Amagansett, NY","NY","Northeast",40.9898076,-72.1297055,255.462675,-0.058,-0.009,-1.13298576141485,-0.971438190650102,-0.995345370861595,1.05421991019769,-1.20364743154736,3,1,1,3,"Low","Moderate"
"41","Amelia, LA","LA","Southeast",29.6632241,-91.1109168,128.870982222222,-0.126,-0.095,1.77783474398272,0.997511510632425,1.4034553467911,1.08127251656372,2.07960505879485,2,4,1,8,"High","High"
"42","American Canyon, CA","CA","West Coast",38.1790331,-122.2596023,252.91879,-0.182,-0.12,-0.245929012062535,1.42315590041388,-0.290998036483619,-0.764053454508343,-0.588920176058965,3,1,1,3,"Low","Moderate"
"43","Amesbury Town, MA","MA","Northeast",42.8512932,-70.9558104,310.303017647059,-0.182,-0.12,-0.662545012892321,-0.78033603550898,-0.656789379323033,-1.13465311576764,-0.103050079423085,4,1,1,4,"Medium","Moderate"
"44","Amesti, CA","CA","West Coast",36.9594832,-121.7817391,284.640496481481,-0.182,-0.12,0.223766626153224,1.41464224784674,-0.0470848580446043,-0.906472879918628,0.389463885290447,4,2,1,8,"High","High"
"45","Amityville, NY","NY","Northeast",40.6698436,-73.4157871,265.810966481482,-0.182,-0.12,-0.566332686500646,0.385022338295713,-0.128329708189376,-0.270099864187912,-0.834873742698809,3,1,1,3,"Low","Moderate"
"46","Anacortes, WA","WA","West Coast",48.4887249,-122.62398,146.307974444444,1.898,0.004,-0.62163664782972,-0.661858656615676,-0.34129647726995,0.589749158164291,0.081047375418329,2,1,3,6,"Medium-high","Moderate"
"47","Anaheim, CA","CA","West Coast",33.8554971,-117.7600707,272.103868611111,-0.182,-0.12,0.513734591343576,1.77194077708033,0.46930463774974,-0.728170650391187,-0.123038910774706,4,2,1,8,"High","High"
"48","Anahuac, TX","TX","Southeast",29.7649283,-94.6786773,122.867720444444,0.342,0.109,0.681355264909334,0.34344126725406,1.03807546021337,1.13509000215978,0.78590864780927,1,3,2,6,"Medium-high","Moderate"
"49","Anchor Point, AK","AK","Alaska",59.7473639,-151.6956971,336.74664995098,0.2,0.022,-0.42283307087363,-0.991467177730528,-0.420326967005478,0.436401742292351,1.06719840293531,4,1,2,8,"High","High"
"50","Anchorage, AK","AK","Alaska",61.1742503,-149.2843294,291.4656,5.108,-0.106,-0.465267754528218,0.111356176354209,-0.264348697310424,-1.32859363333962,-0.0202163520049589,4,1,4,16,"High","High"
"51","Andover, MA","MA","Northeast",42.6556709,-71.1422415,296.477667272727,-0.182,-0.12,-0.942076099652016,-0.348243606010522,-0.14445126004014,-0.357093271763283,-0.461581843882388,4,1,1,4,"Medium","Moderate"
"52","Andrews, SC","SC","Southeast",33.4494269,-79.5659696,30.1712440196078,-0.126,-0.102,2.00649360594689,0.716627497388103,1.78320891167053,-0.109165465397678,1.33068423187117,1,4,1,4,"Medium","Moderate"
"53","Angleton, TX","TX","Southeast",29.1691953,-95.4289732,130.183455701754,-0.182,-0.12,-0.042077420282016,0.261701167598827,-0.0946696306198377,-0.481628149557236,0.798752372122699,2,2,1,4,"Medium","Moderate"
"54","Angwin, CA","CA","West Coast",38.5778747,-122.4512239,251.301518125,-0.182,-0.12,-0.354170821843416,0.122652566641957,-0.404858373925776,-0.886891643813021,-0.344631229864401,3,1,1,3,"Low","Moderate"
"55","Anna Maria, FL","FL","Southeast",27.5298331,-82.7337187,128.776467272727,-0.019,-0.001,-0.921519012840691,-1.16483967796013,-0.994251330389125,2.80105887142208,0.0278929839308318,2,1,1,2,"Low","Low"
"56","Ansonia, CT","CT","Northeast",41.3442494,-73.0698254,279.402456428571,-0.182,-0.12,0.615153929564719,0.173947503013788,1.10323404162429,-0.0909683016097572,0.107229250775884,4,2,1,8,"High","High"
"57","Antioch, CA","CA","West Coast",37.9790748,-121.796195,234.9129,-0.182,-0.12,0.182871497963285,0.989722177061908,0.403357517361865,-0.317720093070604,-0.451985805256793,2,2,1,4,"Medium","Moderate"
"58","Apalachicola, FL","FL","Southeast",29.7274264,-84.9940473,133.932731960784,1.012,0.39,0.270311782565799,-0.574698273216475,0.313946756920581,0.134954156800376,0.82665067369511,2,2,3,12,"High","High"
"59","Apollo Beach, FL","FL","Southeast",27.76302,-82.4033127,129.872759285714,-0.132,-0.117,-0.445760926088296,-0.49248497507834,-0.425435532160836,-0.196399762854463,-0.213386639136502,2,1,1,2,"Low","Low"
"60","Aptos Hills-Larkin Valley, CA","CA","West Coast",36.9545264,-121.8213711,288.297946833333,-0.182,-0.12,-0.423430500197893,-0.675710669999786,-0.594619706061943,-0.0501583481211335,-0.764565810553751,4,1,1,4,"Medium","Moderate"
"61","Aptos, CA","CA","West Coast",36.9911473,-121.8927575,290.447770869565,-0.182,-0.12,-0.963816549339841,-0.832270412640076,-0.712820181636403,-0.494156035286707,-0.868646793202982,4,1,1,4,"Medium","Moderate"
"62","Aquebogue, NY","NY","Northeast",40.9439884,-72.6154714,265.467456,-0.182,-0.12,-0.00276392769678754,0.543538544620046,-1.32696074470487,-1.10264353938251,-0.448794517169761,3,1,1,3,"Low","Moderate"
"63","Aquinnah, MA","MA","Northeast",41.3340004,-70.8234318,252.860978205128,-0.181,-0.117,0.102056530278351,-0.217951224760499,0.2200404657197,-0.986061065344455,-0.0679369356461254,3,1,1,3,"Low","Moderate"
"64","Arabi, LA","LA","Southeast",29.9554622,-89.9984134,108.368545333333,-0.182,-0.12,0.193170828659659,0.116716081391668,1.07081621902651,0.106242678713586,0.603437120421755,1,2,1,2,"Low","Low"
"65","Aransas Pass, TX","TX","Southeast",27.8902103,-97.1184654,84.654476,0.592,-0.033,0.643636708363264,0.10749259921885,0.525815770934057,0.830520548201436,1.16960380058012,1,3,2,6,"Medium-high","Moderate"
"66","Arapahoe, NC","NC","Southeast",35.0214626,-76.8259572,88.605515952381,-0.028,0.172,-0.0925642916442216,-1.07537657333285,-0.282404833033744,0.806124434019375,1.1836327822035,1,2,2,4,"Medium","Moderate"
"67","Arcadia, CA","CA","West Coast",34.1326887,-118.0363467,273.495216538462,-0.182,-0.12,-0.587061354151129,1.84635382535774,-0.271027224151769,-0.073479537370507,-0.846029158147276,4,2,1,8,"High","High"
"68","Arcata, CA","CA","West Coast",40.8622906,-124.0749668,210.1044976,-0.099,-0.114,1.27986160988842,-0.729937119868475,0.924105065299616,-0.41939704974869,0.884257074660782,2,2,1,4,"Medium","Moderate"
"69","Arden, DE","DE","Northeast",39.8112506,-75.4886087,254.410605,-0.182,-0.12,-1.1636255580013,-1.03531083519046,-1.11958136117197,-0.614051287713515,-0.096160398289243,3,1,1,3,"Low","Moderate"
"70","Ardencroft, DE","DE","Northeast",39.8052995,-75.4858629,256.753635,-0.182,-0.12,-0.425626500017393,-0.602467298333918,-1.24098556054938,-0.667080650106014,-0.699815156863912,3,1,1,3,"Low","Moderate"
"71","Ardentown, DE","DE","Northeast",39.8079866,-75.4805345,256.753635,-0.182,-0.12,-0.559174910118506,-0.608364954583737,-0.629369141253018,0.373722387483778,-0.475653591371845,3,1,1,3,"Low","Moderate"
"72","Ardsley, NY","NY","Northeast",41.0135496,-73.8393809,277.945433461538,-0.182,-0.12,-1.15231603177612,0.132415566070001,-0.977936676101499,-0.5243569641679,-1.30003206866648,4,1,1,4,"Medium","Moderate"
"73","Arlington Heights, WA","WA","West Coast",48.2119204,-122.0630055,126.5535375,-0.182,-0.12,-0.174509938683708,-0.995330642692438,-0.576921969682365,0.231271289368278,-0.33078733993208,1,1,1,1,"Low","Low"
"74","Arlington, WA","WA","West Coast",48.1703724,-122.1445532,132.053525,-0.182,-0.12,-0.136607160537719,-0.549791836393817,-0.0983463607088634,-0.468213909813271,0.130385950776106,2,1,1,2,"Low","Low"
"75","Armonk, NY","NY","Northeast",41.133475,-73.7192436,281.467672916667,-0.182,-0.12,-1.38452608106379,-0.705538197891604,-1.32696074470487,-0.559898616395591,-3.62618196386957,4,1,1,4,"Medium","Moderate"
"76","Aromas, CA","CA","West Coast",36.8747551,-121.6307316,292.503633541667,-0.182,-0.12,-0.260153300809094,0.139743398612408,-0.186867525713519,-0.0571359098128694,-0.36562196418239,4,1,1,4,"Medium","Moderate"
"77","Arrowsic, ME","ME","Northeast",43.8639402,-69.7888919,347.05673,-0.131,-0.009,-1.06918666743712,-1.34299072006637,-0.796203697790761,-0.0657757855321512,-0.0619582766378274,4,1,1,4,"Medium","Moderate"
"78","Arroyo Grande, CA","CA","West Coast",35.1243045,-120.584854,291.259446590909,-0.182,-0.12,-0.548465373358917,-0.321976688726427,-0.686518498690683,0.208199499547621,0.0450399833349552,4,1,1,4,"Medium","Moderate"
"79","Artesia, CA","CA","West Coast",33.8675926,-118.0806353,277.512118,-0.182,-0.12,0.203534620501711,2.03255930279828,0.156497836703062,0.0115906388815159,-0.0947248441575888,4,2,1,8,"High","High"
"80","Artondale, WA","WA","West Coast",47.3035531,-122.6524881,144.8893,-0.182,-0.12,-1.21381862149852,-0.902552950795833,-0.958367842919955,-0.265510654010615,-0.797941424153459,2,1,1,2,"Low","Low"
"81","Arundel, ME","ME","Northeast",43.4398088,-70.5280318,332.451902105263,-0.128,-0.108,-0.594315463161835,-0.825977401361635,-0.368443630884393,-0.921315564050762,0.631287729790581,4,1,1,4,"Medium","Moderate"
"82","Asbury Park, NJ","NJ","Northeast",40.2228837,-74.0102318,248.073655416667,-0.132,-0.117,1.61722059757447,1.30543320858119,1.81565373406345,-0.700030699810662,0.326242316221233,3,3,1,9,"High","High"
"83","Asharoken, NY","NY","Northeast",40.9392698,-73.3850603,267.866862619048,-0.182,-0.12,-1.40595083843014,-1.06926350592982,-1.09803487941867,0.729344549001636,-3.57510009680948,3,1,1,3,"Low","Moderate"
"84","Ashland, CA","CA","West Coast",37.6941687,-122.1158984,265.809899880952,-0.182,-0.12,0.9174226812238,2.32069640513383,0.728345279068124,-0.548573763246429,0.236376636509728,3,3,1,9,"High","High"
"85","Askewville, NC","NC","Southeast",36.1115875,-76.9412317,95.384875,-0.182,-0.12,-0.386897060297077,-1.52529949271842,-0.994783896831367,1.13660071358253,1.02302703513113,1,1,1,1,"Low","Low"
"86","Aston, PA","PA","Northeast",39.8727532,-75.4352712,254.410605,-0.182,-0.12,-0.513945389580849,-0.797375363894403,-0.832556812840776,-0.475415752286655,-0.154590169683527,3,1,1,3,"Low","Moderate"
"87","Astor, FL","FL","Southeast",29.163834,-81.5346208,72.3642694444444,-0.182,-0.12,1.27556184252286,-0.295120655300583,0.61370407506571,1.93437556081897,2.21944851156388,1,4,1,4,"Medium","Moderate"
"88","Astoria, OR","OR","West Coast",46.1873684,-123.8149707,222.846288636364,4.468,0.578,-0.0518696824119473,-0.421273181375864,0.423359833437769,-0.0363285032050267,0.59904374885984,2,2,4,16,"High","High"
"89","Atascadero, CA","CA","West Coast",35.4861262,-120.6896903,287.138410964912,-0.175,-0.119,-0.627882272881347,-0.37127051265945,-0.318479465720578,-0.256417355106855,-0.0530485890458519,4,1,1,4,"Medium","Moderate"
"90","Atascocita, TX","TX","Southeast",29.975944,-95.1945541,91.9518666666667,-0.182,-0.12,-0.616113531550986,0.234970138829521,-0.603324526572432,-1.19607272483921,-0.528825549054978,1,1,1,1,"Low","Low"
"91","Atherton, CA","CA","West Coast",37.4570721,-122.2010583,278.4861325,-0.182,-0.12,-1.12962973720939,-0.240655501483241,-0.919459762308621,1.07949764991388,-3.57201038040053,4,1,1,4,"Medium","Moderate"
"92","Atkinson, NC","NC","Southeast",34.5274581,-78.1697085,42.7175884615385,-0.182,-0.12,0.524618097727718,-1.02293635523248,0.195105288362272,0.935332845458313,0.904591084907494,1,2,1,2,"Low","Low"
"93","Atlantic Beach, FL","FL","Southeast",30.3385983,-81.3966101,57.0546104347826,0.251,-0.091,-0.573484397419002,-0.586910736429736,-0.502283468731451,-0.371000036390003,0.149427732702343,1,1,2,2,"Low","Low"
"94","Atlantic Beach, NC","NC","Southeast",34.7006824,-76.7409367,107.979457741935,0.329,0.128,0.248018723885687,-1.27712506337563,-0.452460297113813,-0.254450033040306,1.10585748036452,1,1,2,2,"Low","Low"
"95","Atlantic Beach, NY","NY","Northeast",40.5880134,-73.7293603,261.618725434783,-0.144,-0.102,-1.09257696959799,-0.797687602021234,-0.899155307198716,0.239503557280125,-2.22425184279179,3,1,1,3,"Low","Moderate"
"96","Atlantic City, NJ","NJ","Northeast",39.377297,-74.4510821,230.5070585,2.179,-0.052,2.84592128269291,2.10800088458779,2.58565743190448,-0.00861266734394654,0.559526046332771,2,4,4,32,"High","High"
"97","Atlantic Highlands, NJ","NJ","Northeast",40.4132193,-74.0207698,257.147432105263,-0.087,-0.103,-0.144052720262008,-0.725935840088298,-0.67706356686454,-0.904324518114702,-0.557687666156579,3,1,1,3,"Low","Moderate"
"98","Atlantic, NC","NC","Southeast",34.8907344,-76.3288158,155.43325969697,0.157,0.309,0.871279726677521,-0.517468460104465,1.34784068327439,0.62287199415031,0.703149275193809,2,3,2,12,"High","High"
"99","Atlantis, FL","FL","Southeast",26.5972476,-80.1041003,97.2243587179487,-0.171,-0.116,-0.90768827316171,-0.504057867403217,-0.777419943462229,2.05128103786949,-0.488755338303355,1,1,1,1,"Low","Low"
"100","Atmore, AL","AL","Southeast",31.1279358,-87.4576433,110.890306666667,-0.182,-0.12,1.60316236359067,-0.148418821731278,0.903727705090309,1.79874908514488,1.06279022651465,1,4,1,4,"Medium","Moderate"
"101","Atqasuk, AK","AK","Alaska",70.4807859,-157.3254592,95.4576822222222,-0.178,-0.103,0.528422640225618,1.42755534406598,1.29746521601646,-0.165804360761928,0.919366194604007,1,3,1,3,"Low","Moderate"
"102","Attleboro, MA","MA","Northeast",41.9316531,-71.2945028,236.83991,-0.105,-0.118,-0.109712681157911,-0.260504491607486,-0.100652838281898,-0.960560149393025,0.126285894603487,2,1,1,2,"Low","Low"
"103","Auburn, NH","NH","Northeast",42.9970492,-71.3658039,287.037788571429,-0.182,-0.12,-0.971254489801394,-1.02458496384654,-0.928818438343914,-2.02340630123484,-0.389755321154167,4,1,1,4,"Medium","Moderate"
"104","Audubon, NJ","NJ","Northeast",39.8901277,-75.0723825,252.129998333333,-0.182,-0.12,-0.709652006348257,-0.890299321169922,-0.780366158903011,-1.14120648578816,0.0266156969793438,3,1,1,3,"Low","Moderate"
"105","Aurora, NC","NC","Southeast",35.3029039,-76.789348,84.8748516666667,0.039,0.298,2.04650456323777,-0.443214267715992,1.39063205883203,2.3988512501815,1.03204333165967,1,4,2,8,"High","High"
"106","Avalon, CA","CA","West Coast",33.3240388,-118.3346056,301.993628780488,0.079,-0.06,0.239998653647697,1.26213728935056,0.250738272544571,-1.51251022811061,-0.282063943950047,4,1,2,8,"High","High"
"107","Avalon, NJ","NJ","Northeast",39.086404,-74.739003,227.018158392857,-0.097,-0.072,-1.1897822510391,-1.358197416766,-0.851783289562475,2.17700125983356,-0.936569120388464,2,1,1,2,"Low","Low"
"108","Avenel, NJ","NJ","Northeast",40.5843335,-74.2716261,254.708358181818,-0.182,-0.12,-0.773240758284577,0.626303806950514,-0.269587911263342,-0.0321058448915479,0.0883154527442605,3,1,1,3,"Low","Moderate"
"109","Aventura, FL","FL","Southeast",25.9601425,-80.1330984,102.125129259259,-0.182,-0.12,-0.524248500038091,0.926114678073835,-0.160356783167026,0.808491883184511,-0.139575074571431,1,2,1,2,"Low","Low"
"110","Avila Beach, CA","CA","West Coast",35.1992773,-120.7207566,294.71372275641,0.88,0.656,-1.34930740648757,-1.37752410854549,-1.32696074470487,-0.524644232080924,-0.147643805403463,4,1,3,12,"High","High"
"111","Avocado Heights, CA","CA","West Coast",34.0367691,-118.0017825,271.624209117647,-0.182,-0.12,0.383356765208737,2.04963526952055,0.00726035428842824,0.016961028972101,-0.16195835791463,3,2,1,6,"Medium-high","Moderate"
"112","Avon-By-The-Sea, NJ","NJ","Northeast",40.1914176,-74.0151054,248.073655416667,-0.133,-0.1,-1.06877218746444,-1.13374859594741,-1.2091642965996,0.546058379994259,-0.811789914922773,3,1,1,3,"Low","Moderate"
"113","Avon, MA","MA","Northeast",42.1324607,-71.054013,275.656418947368,-0.182,-0.12,0.305929410403463,-0.195676438698185,-0.860288363952653,-0.752218157210921,-0.199806079642805,4,1,1,4,"Medium","Moderate"
"114","Avon, NC","NC","Southeast",35.3367693,-75.5118319,227.094784761905,-0.182,-0.12,1.02778231416301,-0.86835383205283,-1.19409000555547,-0.00889363604630673,0.254195753420324,2,1,1,2,"Low","Low"
"115","Avondale, LA","LA","Southeast",29.9010286,-90.1970197,103.90032,-0.182,-0.12,1.19838890142318,1.00220708568458,1.13543309910077,0.446227734928908,0.327309649160522,1,3,1,3,"Low","Moderate"
"116","Awendaw, SC","SC","Southeast",32.9735629,-79.6501166,52.145123974359,-0.07,-0.044,1.11689748483608,0.197922589125349,1.01876273023247,-0.377474455502797,0.854176370207795,1,3,1,3,"Low","Moderate"
"117","Aynor, SC","SC","Southeast",34.0002138,-79.2071947,26.632474,-0.182,-0.12,0.429646067466834,-0.440222549953365,0.423285398659372,1.8587900714105,0.782071017868686,1,3,1,3,"Low","Moderate"
"118","Azusa, CA","CA","West Coast",34.1385241,-117.912253,265.980309090909,-0.182,-0.12,0.200928575545158,1.49831153775631,0.347721402003051,-0.540556238974286,0.145348720051566,3,2,1,6,"Medium-high","Moderate"
"119","Babylon, NY","NY","Northeast",40.6936792,-73.3260004,264.786725344828,-0.075,-0.113,-0.782114902567036,-0.592391453914428,-0.638674792362723,-0.693482625398334,-1.24553491518649,3,1,1,3,"Low","Moderate"
"120","Bacliff, TX","TX","Southeast",29.5071617,-94.9872473,130.591543888889,0.66,-0.014,1.48169074038397,1.04506147697164,1.36681555755256,-0.651072674454138,1.17772211876859,2,3,2,12,"High","High"
"121","Bagdad, FL","FL","Southeast",30.5841725,-87.0448924,132.144953333333,-0.182,-0.12,0.613352318851937,-0.472802773128201,0.690292778684603,0.619590115719613,0.744676911559666,2,2,1,4,"Medium","Moderate"
"122","Bainbridge Island, WA","WA","West Coast",47.6425448,-122.507764,127.594293333333,-0.178,-0.119,-1.21184244091363,-0.778777935957486,-0.782547342171365,0.0745775703447849,-0.633704823429908,2,1,1,2,"Low","Low"
"123","Baiting Hollow, NY","NY","Northeast",40.9646227,-72.7403148,265.512303928571,-0.182,-0.12,-0.701976812675887,-0.706699157224446,-0.869014662942663,0.120497846327121,-1.0447881420513,3,1,1,3,"Low","Moderate"
"124","Bal Harbour, FL","FL","Southeast",25.8933415,-80.1231882,101.173549259259,-0.182,-0.12,-0.459263654398468,0.96630464237847,-0.257113343132979,0.766708320845693,-1.03022771735719,1,1,1,1,"Low","Low"
